time,Azimuth,Pitch,Roll
9.868529,83.504,8.774,1.109
9.869130,83.406,8.822,1.153
9.869445,83.508,8.769,1.124
9.871740,83.550,8.737,1.167
9.872128,83.579,8.728,1.123
9.872476,83.413,8.830,1.095
9.884290,84.647,8.830,1.095
9.986186,84.647,8.830,1.095
10.046798,84.827,8.726,1.094
10.047307,84.684,8.793,1.179
10.047955,84.779,8.737,1.191
10.048464,84.763,8.761,1.109
10.049131,84.693,8.794,1.151
10.049590,84.662,8.821,1.094
10.050042,84.565,8.864,1.167
10.052645,84.609,8.847,1.122
10.053292,84.794,8.733,1.166
10.083670,83.924,8.733,1.166
10.163379,83.924,8.733,1.166
10.226134,83.870,8.752,1.222
10.226865,83.908,8.739,1.177
10.227213,83.769,8.811,1.210
10.227541,84.056,8.653,1.195
10.227785,84.003,8.678,1.221
10.228328,83.666,8.893,1.080
10.228563,83.841,8.782,1.151
10.228818,83.805,8.788,1.223
10.229249,83.900,8.760,1.093
10.286586,83.464,8.760,1.093
10.344692,83.464,8.760,1.093
10.404669,83.426,8.775,1.122
10.405541,83.437,8.752,1.207
10.406042,83.368,8.782,1.248
10.406492,83.516,8.699,1.248
10.406771,83.290,8.835,1.207
10.407038,83.288,8.831,1.235
10.407650,83.206,8.876,1.236
10.407909,83.461,8.750,1.150
10.408182,83.442,8.752,1.193
10.484199,82.775,8.752,1.193
10.529597,82.775,8.752,1.193
10.589265,82.770,8.760,1.166
10.589684,82.741,8.768,1.208
10.590520,82.853,8.717,1.148
10.591014,82.710,8.801,1.136
10.591677,82.812,8.730,1.194
10.592218,82.658,8.818,1.195
10.592542,82.820,8.729,1.178
10.593132,82.597,8.835,1.278
10.593674,82.799,8.738,1.193
10.684278,84.485,8.738,1.193
10.703689,84.485,8.738,1.193
10.764041,84.366,8.805,1.193
10.764622,84.241,8.903,1.049
10.764828,84.554,8.706,1.150
10.765034,84.509,8.729,1.164
10.765160,84.404,8.799,1.110
10.765308,84.233,8.899,1.095
10.765698,84.330,8.829,1.178
10.765880,84.395,8.807,1.095
10.766131,84.363,8.813,1.164
10.884167,82.978,8.813,1.164
10.884476,82.978,8.813,1.164
10.944024,83.045,8.759,1.221
10.944393,83.024,8.784,1.165
10.944954,83.003,8.803,1.136
10.945437,82.994,8.805,1.150
10.945689,83.041,8.771,1.178
10.945881,83.194,8.683,1.151
10.946086,83.106,8.734,1.164
10.946668,83.080,8.750,1.165
10.947123,83.212,8.672,1.149
11.062911,83.212,8.672,1.149
11.082019,84.178,8.672,1.149
11.125189,84.107,8.704,1.196
11.125583,83.899,8.832,1.152
11.127519,83.965,8.770,1.279
11.128368,83.984,8.775,1.193
11.128672,83.987,8.771,1.206
11.129168,83.889,8.827,1.210
11.129424,84.046,8.758,1.095
11.129699,83.997,8.773,1.164
11.129933,84.083,8.708,1.250
11.244357,84.083,8.708,1.250
11.281845,83.619,8.708,1.250
11.305688,83.483,8.792,1.209
11.306537,83.583,8.744,1.166
11.306961,83.461,8.817,1.150
11.307354,83.437,8.845,1.079
11.307984,83.572,8.740,1.222
11.308472,83.479,8.798,1.194
11.309077,83.655,8.693,1.223
11.309348,83.421,8.817,1.264
11.309636,83.388,8.858,1.152
11.423393,83.388,8.858,1.152
11.483159,83.562,8.747,1.211
11.483989,84.926,8.747,1.211
11.484440,84.980,8.734,1.107
11.491258,84.859,8.782,1.236
11.492113,85.005,8.712,1.151
11.493033,84.966,8.760,1.008
11.493673,84.670,8.903,1.168
11.494479,85.039,8.690,1.164
11.496796,84.896,8.778,1.136
11.499201,84.791,8.825,1.208
11.605017,84.791,8.825,1.208
11.663731,84.798,8.822,1.206
11.664364,84.786,8.844,1.123
11.664593,84.988,8.730,1.107
11.664940,84.785,8.847,1.108
11.665125,84.688,8.887,1.195
11.665465,84.753,8.852,1.181
11.665697,84.791,8.825,1.208
11.665974,84.889,8.782,1.137
11.666907,84.804,8.823,1.179
11.682714,83.798,8.823,1.179
11.782912,83.798,8.823,1.179
11.843534,84.001,8.713,1.163
11.844000,83.770,8.842,1.166
11.844434,83.874,8.784,1.165
11.844715,84.018,8.696,1.207
11.845005,83.891,8.778,1.150
11.845250,83.954,8.739,1.167
11.845795,84.005,8.728,1.078
11.846089,83.975,8.714,1.236
11.846468,83.868,8.782,1.193
11.881849,83.254,8.782,1.193
11.966682,83.254,8.782,1.193
12.024903,83.318,8.771,1.064
12.025452,83.288,8.756,1.222
12.025823,83.381,8.704,1.221
12.029216,83.279,8.782,1.122
12.030551,83.199,8.815,1.182
12.031326,83.326,8.752,1.136
12.031978,83.140,8.843,1.210
12.032562,83.263,8.797,1.092
12.032927,83.388,8.708,1.179
12.082443,83.829,8.708,1.179
12.144516,83.829,8.708,1.179
12.207350,83.750,8.764,1.122
12.209161,83.575,8.847,1.207
12.209599,83.671,8.784,1.251
12.210056,83.850,8.682,1.250
12.215284,83.771,8.749,1.138
12.215724,83.869,8.688,1.164
12.216389,83.672,8.803,1.150
12.216921,83.716,8.772,1.180
12.217522,83.606,8.849,1.108
12.282175,83.170,8.849,1.108
12.322094,83.170,8.849,1.108
12.385877,83.258,8.789,1.150
12.386374,83.235,8.814,1.095
12.386691,83.276,8.770,1.194
12.387231,83.135,8.860,1.152
12.387778,83.308,8.755,1.178
12.388123,83.167,8.857,1.079
12.388335,83.189,8.820,1.195
12.388574,83.158,8.832,1.223
12.388782,83.172,8.830,1.194
12.481037,84.227,8.830,1.194
12.503482,84.227,8.830,1.194
12.562886,84.328,8.777,1.165
12.563128,84.266,8.802,1.223
12.563470,84.429,8.724,1.136
12.563809,84.201,8.859,1.122
12.563961,84.292,8.796,1.179
12.564067,84.412,8.726,1.179
12.564442,84.425,8.704,1.263
12.564619,84.292,8.792,1.195
12.564924,84.235,8.807,1.293
12.682731,83.534,8.807,1.293
12.683052,83.534,8.807,1.293
12.743658,83.641,8.785,1.093
12.743977,83.474,8.855,1.223
12.744638,83.746,8.716,1.135
12.744948,83.500,8.855,1.153
12.745223,83.706,8.750,1.079
12.745447,83.520,8.832,1.209
12.745652,83.595,8.803,1.136
12.745899,83.746,8.716,1.135
12.746669,83.812,8.677,1.138
12.863426,83.812,8.677,1.138
12.881511,84.451,8.677,1.138
12.927883,84.277,8.771,1.164
12.928248,84.224,8.792,1.209
12.928486,84.284,8.756,1.222
12.928767,84.191,8.812,1.208
12.928972,84.199,8.815,1.164
12.929233,84.426,8.689,1.151
12.929781,84.437,8.680,1.165
12.930099,84.288,8.778,1.094
12.930878,84.375,8.712,1.179
13.044666,84.375,8.712,1.179
13.081945,82.095,8.712,1.179
13.103382,82.115,8.694,1.207
13.103806,82.188,8.683,1.065
13.104617,81.976,8.776,1.205
13.105661,82.085,8.724,1.151
13.106717,82.027,8.758,1.151
13.107312,82.073,8.741,1.107
13.108113,81.911,8.830,1.138
13.108707,82.118,8.708,1.136
13.109313,81.791,8.897,1.151
13.224299,81.791,8.897,1.151
13.283260,81.998,8.766,1.193
13.283725,84.230,8.766,1.193
13.284069,84.380,8.695,1.110
13.284217,84.378,8.694,1.122
13.284368,84.375,8.688,1.167
13.284593,84.228,8.778,1.136
13.285042,84.297,8.720,1.235
13.285204,84.178,8.803,1.150
13.285339,84.192,8.803,1.107
13.285487,84.294,8.745,1.109
13.403026,84.294,8.745,1.109
13.464306,84.216,8.787,1.121
13.464655,84.252,8.758,1.166
13.465135,84.319,8.712,1.208
13.465545,84.298,8.742,1.109
13.465964,84.400,8.682,1.120
13.466460,84.079,8.865,1.122
